epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
76,3545.92,0.0031,0.9845,1,0.05463,0.00103967,0.000346556,0.00103967,0.000346556,0.00103967,0.000346556,0.00103967,0.000346556
77,3601.15,0.00585,0.9845,1,0.0562,0.00101717,0.000339057,0.00101717,0.000339057,0.00101717,0.000339057,0.00101717,0.000339057
78,3655.06,0.00398,0.9845,1,0.09827,0.000994673,0.000331558,0.000994673,0.000331558,0.000994673,0.000331558,0.000994673,0.000331558
79,3708.06,0.00357,0.9845,1,0.05667,0.000972175,0.000324058,0.000972175,0.000324058,0.000972175,0.000324058,0.000972175,0.000324058
80,3761.02,0.00467,0.98339,1,0.05698,0.000949678,0.000316559,0.000949678,0.000316559,0.000949678,0.000316559,0.000949678,0.000316559
81,3818.59,0.00363,0.98339,1,0.05827,0.00092718,0.00030906,0.00092718,0.00030906,0.00092718,0.00030906,0.00092718,0.00030906
82,3874.5,0.00527,0.9845,1,0.05757,0.000904682,0.000301561,0.000904682,0.000301561,0.000904682,0.000301561,0.000904682,0.000301561
83,3928.82,0.00349,0.9845,1,0.05906,0.000882185,0.000294061,0.000882185,0.000294061,0.000882185,0.000294061,0.000882185,0.000294061
84,3983.26,0.00342,0.9845,1,0.05801,0.000859687,0.000286562,0.000859687,0.000286562,0.000859687,0.000286562,0.000859687,0.000286562
85,4037.16,0.00609,0.9845,1,0.05814,0.000837189,0.000279063,0.000837189,0.000279063,0.000837189,0.000279063,0.000837189,0.000279063
86,4095.67,0.00431,0.9845,1,0.0574,0.000814691,0.000271564,0.000814691,0.000271564,0.000814691,0.000271564,0.000814691,0.000271564
87,4153.34,0.00438,0.9845,1,0.05748,0.000792193,0.000264064,0.000792193,0.000264064,0.000792193,0.000264064,0.000792193,0.000264064
88,4210.78,0.00505,0.98339,1,0.0826,0.000769696,0.000256565,0.000769696,0.000256565,0.000769696,0.000256565,0.000769696,0.000256565
89,4265.24,0.00484,0.98339,1,0.05784,0.000747198,0.000249066,0.000747198,0.000249066,0.000747198,0.000249066,0.000747198,0.000249066
